chemistry,eps_case,eps,pe_psia,isp_amb_s,isp_vac_s,mode
equilibrium,matched_equilibrium_eps,2.3752930506943715,14.699409337503115,204.83566737567992,242.1772775406029,Pexit = 14.7034
equilibrium,eps_2p38,2.38,14.655193589989945,204.83553678259858,242.2511441606172,Pexit = 14.6592
equilibrium,eps_4p1,4.1,6.555383461130458,195.59382687763605,260.04928496581937,OverExpanded (Pe=6.55717)
frozen_chamber,matched_equilibrium_eps,2.3752930506943715,12.991975388449431,197.44830694998055,233.71820569057925,OverExpanded (Pe=12.9955)
frozen_chamber,eps_2p38,2.38,12.951777461684356,197.4398554810716,233.78162770045742,OverExpanded (Pe=12.9553)
frozen_chamber,eps_4p1,4.1,5.707914658325678,195.85834625065502,248.93461491269858,"Separated (Psep=6.15845, epsSep=3.95465)"
frozen_throat,matched_equilibrium_eps,2.3752930506943715,12.950725953923698,200.85285717009384,238.1944673350168,OverExpanded (Pe=12.9542)
frozen_throat,eps_2p38,2.38,12.91082761619376,200.84395182501126,238.25955920302988,OverExpanded (Pe=12.9143)
frozen_throat,eps_4p1,4.1,5.7111785345617925,199.41259418336276,253.83854858487558,"Separated (Psep=6.15845, epsSep=4.54516)"
frozen_chamber,own_matched_eps,2.1964353161581487,14.699703976052321,197.6131318550158,231.151935197215,Pexit = 14.7037
frozen_throat,own_matched_eps,2.1912919115721845,14.699998278475702,201.0313810767981,235.48033814150935,Pexit = 14.704
