case,ox,fuel,chemistry,pc_psia,pamb_psia,mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,thrust_n,mdot_kg_s,throat_area_m2,throat_diameter_mm,exit_diameter_mm
GOX_IPA,GOX,Isopropanol,equilibrium,150.0,14.7,1.6500000000000008,2.431820620451597,14.699996091148117,230.05616667326956,272.8877216630461,Pexit = 14.704,1762.4883272387647,3237.142366837881,21.50440568601968,1.1312023509041387,1.2800521342483029,1.2800521099675466,200.0,0.0886493266164997,0.00015107482640831595,13.869190430485403,21.62802583228796
GOX_Ethanol,GOX,C2H5OH,equilibrium,150.0,14.7,1.5500000000000007,2.4549231175527395,14.700000462945304,225.61660995542724,267.9750445390327,Pexit = 14.704,1726.6167536622045,3187.0560721049565,22.143083243292203,1.1257838755955392,1.2814307444683595,1.281430742636258,200.0,0.09039371819117248,0.00015091229191918862,13.861727809264172,21.71882442656216
GOX_Methanol,GOX,CH3OH,equilibrium,150.0,14.7,1.2000000000000004,2.463492912615531,14.69999868679044,221.27617390852177,262.9497537262166,Pexit = 14.704,1692.791368269032,3074.4016278257814,22.27758746402994,1.1218255888656048,1.281891422099907,1.281891411220713,200.0,0.09216683341600901,0.0001508580591259218,13.859236866477133,21.752790434125405
N2O_IPA,N2O,Isopropanol,equilibrium,150.0,14.7,5.099999999999991,2.3662743093721805,14.699500090018018,207.00042280953232,244.60950178704456,Pexit = 14.7035,1590.455615290092,3119.5232733520943,25.244496327894133,1.1429740742860375,1.2763524810986486,1.2763497536324417,200.0,0.09852310436256467,0.00015151305491036706,13.889291308612886,21.36547886129039
N2O_Ethanol,N2O,C2H5OH,equilibrium,150.0,14.7,4.649999999999994,2.3752930506943715,14.699409337503115,204.83566737567992,242.1772775406029,Pexit = 14.7034,1573.1487409649164,3064.1792258590535,25.38522761533466,1.1405675188285862,1.276900058667124,1.2768968461747208,200.0,0.09956432158933654,0.0001514481384195419,13.886315523287141,21.401569710511733
Peroxide85_IPA,Peroxide85,Isopropanol,equilibrium,150.0,14.7,5.650000000000004,2.3676330996954875,14.699507850690859,203.19566624650406,240.161659954142,Pexit = 14.7035,1562.3629334021277,2553.4968242990453,21.509106447006378,1.1331974104891038,1.275420607699318,1.27541797779424,200.0,0.10036790959319708,0.00015162374505759378,13.89436389793254,21.37941760280887
N2O_Methanol,N2O,CH3OH,equilibrium,150.0,14.7,3.4999999999999947,2.377943234557129,14.699412783705894,203.03809762428597,240.09115758705713,Pexit = 14.7034,1559.2528288349206,2972.1143225550645,25.096104294934392,1.1381948703421265,1.2769741360792948,1.2769709429298466,200.0,0.10044580055757546,0.0001514393505800935,13.88591263790706,21.412884287815455
Peroxide85_Ethanol,Peroxide85,C2H5OH,equilibrium,150.0,14.7,5.0000000000000036,2.3637420727990004,14.699512017712982,201.12556380749368,237.65981840050168,Pexit = 14.7035,1546.6573506841044,2506.995867805067,21.51912703065061,1.1352009050683554,1.275246304275667,1.275243694268814,200.0,0.1014009550724188,0.00015164446699564036,13.895313314896342,21.363302324658548
Peroxide70_IPA,Peroxide70,Isopropanol,equilibrium,150.0,14.7,7.2000000000000055,2.306768011808686,14.699720153415482,186.867648033638,220.08328367062836,Pexit = 14.7037,1440.895854536567,2183.61989304057,21.242998896222336,1.1588901202728787,1.2718094839268541,1.2718079861068676,200.0,0.10913780140202434,0.00015205412485174943,13.914069307767049,21.13275521234393
Peroxide70_Ethanol,Peroxide70,C2H5OH,equilibrium,150.0,14.7,6.300000000000004,2.304366275102643,14.699684164582715,184.98111016236965,217.82380956897492,Pexit = 14.7037,1426.2027820823387,2139.202475685154,21.202120532117963,1.1621445086132938,1.2719402205908574,1.2719385272862567,200.0,0.11025084800095089,0.00015203851928248383,13.913355277338317,21.120667048095992
